time,x_original,x_drift,x_amplitude_scaled,x_lowfreq,v_original,v_drift,v_amplitude_scaled,v_lowfreq,a_original,a_drift,a_amplitude_scaled,a_lowfreq
0.26,0.006806669459403541,0.007066669459403541,0.010210004189105311,0.00880681409001183,-0.02316662488806437,-0.02290662488806437,-0.03474993733209655,-0.014971984364962191,-0.06806669459410156,-0.06780669459410156,-0.10210004189115233,-0.0880681409001261
0.27,0.006571658628500919,0.006841658628500919,0.009857487942751379,0.008715762467144044,-0.02383554129245999,-0.02356554129245999,-0.03575331193868998,-0.015498222032001432,-0.06571658628502217,-0.06544658628502216,-0.09857487942753325,-0.08715762467144594
0.28,0.006330077781473825,0.006610077781473825,0.009495116672210736,0.008621212807177345,-0.024480628112958855,-0.024200628112958856,-0.03672094216943828,-0.016018331290231225,-0.06330077781475144,-0.06302077781475143,-0.09495116672212715,-0.08621212807181922
0.29,0.00608216843878917,0.00637216843878917,0.009123252658183754,0.008523228127464042,-0.025101240423972174,-0.024811240423972175,-0.03765186063595826,-0.016531965486809158,-0.060821684387912106,-0.06053168438791211,-0.09123252658186816,-0.08523228127465567
0.3,0.005828178447827793,0.006128178447827793,0.00874226767174169,0.008423525937877435,-0.025696757768303182,-0.02539675776830318,-0.03854513665245477,-0.01704236215256116,-0.05828178447828972,-0.057981784478289715,-0.08742267671743457,-0.0842352593787237
0.31,0.005568361735099029,0.00587836173509903,0.008352542602648543,0.008318770895941189,-0.026266584777449534,-0.025956584777449533,-0.0393998771661743,-0.017542535956736955,-0.0556836173509809,-0.055373617350980904,-0.08352542602647135,-0.083187708959414
0.32,0.005302978052377665,0.005622978052377665,0.007954467078566499,0.008212366479508303,-0.02681015176682326,-0.026490151766823258,-0.040215227650234886,-0.018039135457456824,-0.05302978052376364,-0.05270978052376364,-0.07954467078564546,-0.08212366479512599
0.33,0.005032292717017085,0.005362292717017086,0.007548439075525628,0.008102663314082138,-0.027326915305292764,-0.026996915305292763,-0.04099037295793914,-0.018528586351264847,-0.05032292717013728,-0.049992927170137286,-0.07548439075520592,-0.08102663314088134
0.34,0.00475657634669823,0.00509657634669823,0.007134864520047345,0.007989734516827019,-0.02781635875847825,-0.02747635875847825,-0.04172453813771737,-0.019010562419119536,-0.04756576346695976,-0.04722576346695976,-0.07134864520043964,-0.07989734516829672
0.35000000000000003,0.0044761045888795535,0.004826104588879554,0.00671415688331933,0.007875192903657425,-0.0282779928052571,-0.0279279928052571,-0.04241698920788565,-0.019488801073997565,-0.04476104588881011,-0.044411045888810105,-0.06714156883321516,-0.07875192903654213
0.36,0.004191157845218458,0.004551157845218458,0.006286736767827686,0.007755927355729325,-0.02871135592696204,-0.02835135592696204,-0.04306703389044306,-0.019955349370820545,-0.04191157845217777,-0.04155157845217777,-0.06286736767826666,-0.07755927355728827
0.37,0.0039020209912397226,0.004272020991239723,0.005853031486859584,0.0076351269081280536,-0.029116014868784984,-0.028746014868784985,-0.043674022303177476,-0.02041784540439559,-0.03902020991241148,-0.03865020991241148,-0.05853031486861722,-0.07635126908128258
0.38,0.00360898309153118,0.00398898309153118,0.00541347463729677,0.007511256661180443,-0.029491565072923578,-0.02911156507292358,-0.044237347609385365,-0.020872236911474756,-0.03608983091530707,-0.03570983091530707,-0.054134746372960604,-0.07511256661177321
0.39,0.0033123371107513736,0.0037023371107513738,0.00496850566612706,0.007384399174411241,-0.029837631083037667,-0.029447631083037665,-0.0447564466245565,-0.021318221040099797,-0.033123371107510485,-0.032733371107510484,-0.04968505666126573,-0.07384399174411764
0.4,0.0030123796207381245,0.0034123796207381246,0.0045185694311071865,0.007256048067731244,-0.03015386691961217,-0.029753866919612168,-0.045230800379418255,-0.021760001479497776,-0.030123796207389725,-0.029723796207389724,-0.04518569431108459,-0.07256048067738899
0.41000000000000003,0.002709410504010815,0.0031194105040108153,0.004064115756016223,0.0071233444203457836,-0.03043995642584971,-0.03002995642584971,-0.04565993463877457,-0.022188729181192683,-0.027094105040118527,-0.026684105040118526,-0.04064115756017779,-0.07123344420350394
0.42,0.002403732653962824,0.002823732653962824,0.0036055989809442362,0.006989234149551755,-0.030695613583748494,-0.030275613583748494,-0.04604342037562274,-0.022612963096804307,-0.02403732653963811,-0.02361732653963811,-0.036055989809457165,-0.06989234149555144
0.43,0.0020956516720438373,0.002525651672043837,0.0031434775080657557,0.006852310631940595,-0.030920582800048852,-0.030490582800048852,-0.04638087420007328,-0.023028209440249352,-0.020956516720433277,-0.020526516720433277,-0.031434775080649915,-0.06852310631946402
0.44,0.0017854755622347793,0.0022254755622347793,0.0026782133433521688,0.0067126651270424924,-0.031114639161762752,-0.030674639161762753,-0.046671958742644126,-0.023434191449822617,-0.01785475562234698,-0.01741475562234698,-0.02678213343352047,-0.0671266512704698
0.45,0.001473514423120813,0.001923514423120813,0.0022102716346812192,0.006571658628500919,-0.03127758866103052,-0.030827588661030518,-0.046916382991545776,-0.02383554129245999,-0.014735144231206226,-0.014285144231206226,-0.02210271634680934,-0.06571658628502217
0.46,0.00116008013787026,0.0016200801378702602,0.00174012020680539,0.006426710120284663,-0.03140926838908005,-0.03094926838908005,-0.047113902583620075,-0.02422259338475931,-0.011600801378700148,-0.011140801378700148,-0.017401202068050223,-0.06426710120285972
0.47000000000000003,0.0008454860624293848,0.0013154860624293848,0.0012682290936440771,0.006280495912936893,-0.031509546699095003,-0.031039546699095002,-0.047264320048642505,-0.02460475057516152,-0.008454860624290211,-0.007984860624290211,-0.012682290936435317,-0.06280495912938357
0.48,0.0005300467122447664,0.0010100467122447663,0.0007950700683671495,0.006131750307326101,-0.03157832333782869,-0.031098323337828686,-0.04736748500674303,-0.024977117961769508,-0.005300467122445945,-0.004820467122445945,-0.007950700683668918,-0.061317503073279975
0.49,0.00021407744782646175,0.0007040774478264617,0.00032111617173969265,0.005980572442404619,-0.03161552954583223,-0.03112552954583223,-0.047423294318748345,-0.025339447361704577,-0.002140774478263302,-0.001650774478263302,-0.003211161717394953,-0.05980572442406315
0.5,-0.00010210584053368371,0.00039789415946631633,-0.00015315876080052558,0.005828178447827793,-0.031621128126196864,-0.031121128126196863,-0.0474316921892953,-0.025696757768303182,0.001021058405336922,0.001521058405336922,0.001531587608005383,-0.05828178447828972
0.51,-0.00041818704857337567,9.181295142662437e-05,-0.0006272805728600634,0.005672288420190534,-0.03159511348174154,-0.031085113481741537,-0.0473926702226123,-0.026038653973790994,0.004181870485729072,0.004691870485729072,0.006272805728593608,-0.056722884201904425
0.52,-0.0007338501740851265,-0.00021385017408512644,-0.0011007752611276898,0.005515284998554757,-0.03153751162060863,-0.03101751162060863,-0.04730626743091294,-0.026375298175324278,0.007338501740852016,0.007858501740852016,0.011007752611278024,-0.05515284998553745
0.53,-0.0010487796328394817,-0.0005187796328394816,-0.0015731694492592224,0.005356054788921938,-0.0314483801302624,-0.030918380130262404,-0.0471725701953936,-0.026701438368948515,0.010487796328393167,0.011017796328393167,0.01573169449258975,-0.0535605478892071
0.54,-0.0013626605740903732,-0.0008226605740903732,-0.00204399086113556,0.005194703918233433,-0.031327808119915916,-0.030787808119915917,-0.04699171217987387,-0.02701685718221106,0.013626605740904657,0.014166605740904658,0.020439908611356986,-0.051947039182313096
0.55,-0.001675179195347173,-0.001125179195347173,-0.0025127687930207596,0.005032292717017085,-0.031175916131444045,-0.030625916131444046,-0.046763874197166065,-0.027326915305292764,0.016751791953469458,0.017301791953469457,0.025127687930204187,-0.05032292717013728
0.56,-0.0019860230560987523,-0.0014260230560987522,-0.0029790345841481285,0.004866862894825772,-0.03099285601887181,-0.030432856018871808,-0.046489284028307716,-0.027620581377204054,0.019860230560977604,0.020420230560977606,0.029790345841466406,-0.04866862894823077
0.5700000000000001,-0.0022948813901759024,-0.0017248813901759022,-0.0034423220852638535,0.004700481995134495,-0.03077881079655819,-0.03020881079655819,-0.04616821619483728,-0.02790868556783402,0.022948813901745774,0.023518813901745775,0.03442322085261866,-0.04700481995132983
0.58,-0.0026014454164398305,-0.0020214454164398307,-0.0039021681246597458,0.00453219894044329,-0.030533994456227443,-0.029953994456227442,-0.045800991684341166,-0.028185665995901325,0.026014454164403594,0.026594454164403595,0.03902168124660539,-0.04532198940444005
0.59,-0.0029054086474861237,-0.0023154086474861234,-0.0043581129712291855,0.004362125891415116,-0.030258651753031197,-0.029668651753031197,-0.0453879776295468,-0.028451338053939075,0.02905408647484567,0.02964408647484567,0.043581129712268504,-0.043621258914157184
0.6,-0.0032064671960555504,-0.0026064671960555506,-0.004809700794083325,0.004191157845218458,-0.02995305796085415,-0.02935305796085415,-0.04492958694128123,-0.02871135592696204,0.03206467196056348,0.03266467196056348,0.04809700794084522,-0.04191157845217777
0.61,-0.003504320078845367,-0.002894320078845367,-0.005256480118268051,0.004017675732831217,-0.029617518597109142,-0.029007518597109143,-0.04442627789566371,-0.028954151292055808,0.035043200788438505,0.035653200788438505,0.05256480118265776,-0.040176757328318
0.62,-0.003798669517417393,-0.003178669517417393,-0.0056980042761260894,0.0038434134112980143,-0.02925236911729608,-0.02863236911729608,-0.04387855367594412,-0.029191124909612703,0.03798669517417405,0.038606695174174054,0.05698004276126108,-0.0384341341129906
0.63,-0.004089221235902024,-0.003459221235902024,-0.006133831853853036,0.0036675906714728882,-0.028857974579630158,-0.02822797457963016,-0.04328696186944524,-0.02941645503209586,0.04089221235901011,0.04152221235901011,0.061338318538515166,-0.03667590671472795
0.64,-0.00437568475520055,-0.00373568475520055,-0.0065635271328008254,0.0034903246992192575,-0.028434729280075018,-0.027794729280075016,-0.04265209392011253,-0.029629991476969212,0.04375684755201778,0.04439684755201778,0.06563527132802667,-0.034903246992188434
0.65,-0.004657773683391652,-0.0040077736833916515,-0.006986660525087477,0.0033123371107513736,-0.027983056358145356,-0.027333056358145355,-0.041974584537218036,-0.029837631083037667,0.046577736833914224,0.04722773683391422,0.06986660525087134,-0.033123371107510485
0.66,-0.004935206002051744,-0.004275206002051744,-0.007402809003077616,0.003132362616743424,-0.027503407373873127,-0.026843407373873127,-0.04125511106080969,-0.030027372584982368,0.049352060020531247,0.05001206002053125,0.07402809003079687,-0.03132362616743803
0.67,-0.0052077043482029114,-0.004537704348202911,-0.007811556522304367,0.0029517857973926625,-0.026996261856360296,-0.026326261856360295,-0.040494392784540444,-0.030211084820859678,0.05207704348203482,0.052747043482034815,0.07811556522305223,-0.029517857973935486
0.68,-0.005474996291606561,-0.004794996291606561,-0.008212494437409842,0.002770004327356277,-0.02646212682436964,-0.02578212682436964,-0.03969319023655446,-0.0303827385246022,0.0547499629160961,0.0554299629160961,0.08212494437414415,-0.027700043273572766
0.6900000000000001,-0.005736814607125574,-0.005046814607125574,-0.008605221910688361,0.002587139363991618,-0.025901536279432848,-0.025211536279432848,-0.038852304419149275,-0.030542219289009225,0.05736814607126231,0.058058146071262313,0.08605221910689347,-0.025871393639926354
0.7000000000000001,-0.0059928975418826495,-0.005292897541882649,-0.008989346312823974,0.0024037326539628223,-0.025315050671982336,-0.024615050671982337,-0.037972576007973505,-0.030695613583748494,0.059928975418839875,0.060628975418839874,0.08989346312825981,-0.024037326539638092
0.71,-0.006242989076947765,-0.005532989076947765,-0.009364483615421648,0.002218884064811432,-0.024703256341040765,-0.023993256341040766,-0.03705488451156115,-0.03083059511352871,0.06242989076947428,0.06313989076947428,0.09364483615421142,-0.02218884064811521
0.72,-0.006486839183293112,-0.005766839183293112,-0.009730258774939668,0.0020336164500820257,-0.024066764928028613,-0.023346764928028615,-0.03610014739204292,-0.030959394072391632,0.06486839183295576,0.06558839183295576,0.09730258774943364,-0.020336164500816017
0.73,-0.006724204071759635,-0.005994204071759635,-0.010086306107639453,0.0018475107841965908,-0.023406212765275967,-0.022676212765275965,-0.03510931914791395,-0.031075827889419972,0.06724204071757381,0.0679720407175738,0.10086306107636071,-0.01847510784196424
0.74,-0.006954846436785259,-0.006214846436785259,-0.010432269655177889,0.0016606911065891927,-0.022722260239848822,-0.02198226023984882,-0.03408339035977323,-0.031179818961469857,0.0695484643678552,0.0702884643678552,0.10432269655178279,-0.016606911065890677
0.75,-0.007178535693651137,-0.006428535693651137,-0.010767803540476706,0.0014735144231208146,-0.022015591133326858,-0.021265591133326857,-0.03302338669999029,-0.03127758866103052,0.07178535693653768,0.07253535693653768,0.10767803540480651,-0.014735144231206244
0.76,-0.007395048209008742,-0.006635048209008742,-0.011092572313513113,0.001285453851970483,-0.021286911938194136,-0.020526911938194135,-0.0319303679072912,-0.03135659649786023,0.07395048209000674,0.07471048209000673,0.1109257231350101,-0.012854538519702597
0.77,-0.00760416752445732,-0.00683416752445732,-0.01140625128668598,0.0010971613227820868,-0.020536951151521394,-0.019766951151521394,-0.030805426727282093,-0.03142932405108304,0.07604167524454145,0.07681167524454145,0.11406251286681217,-0.010971613227818179
0.78,-0.007805684572948183,-0.007025684572948183,-0.011708526859422275,0.0009084048775175617,-0.019766458546651263,-0.018986458546651264,-0.029649687819976893,-0.03148949103709201,0.07805684572948454,0.07883684572948454,0.11708526859422681,-0.009084048775172215
0.79,-0.00799939788779951,-0.0072093978877995095,-0.011999096831699264,0.0007193103223555384,-0.018976204423613998,-0.018186204423614,-0.028464306635420995,-0.03153705735458848,0.07999397887796825,0.08078397887796825,0.11999096831695237,-0.007193103223552516
0.8,-0.008185113804112673,-0.007385113804112673,-0.01227767070616901,0.0005300467122447664,-0.018166978839018747,-0.01736697883901875,-0.027250468258528122,-0.03157832333782869,0.08185113804108177,0.08265113804108176,0.12277670706162265,-0.005300467122445945
